"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-30","AK","A",203,203,2,,1017,1017,75,13,,,1222126,6862,,,1211380,,10,44966,,385,0,,,,,54317,7165,,0,1267092,7247,,,,,,0,1267092,7247
"2020-12-30","AL","A",4774,4174,37,600,33831,33831,2813,379,2429,,1575075,3822,,,,1396,,356820,287173,5016,0,,,,,,202137,,0,1862248,7056,,,86794,,1862248,7056,,0
"2020-12-30","AR","A+",3637,3068,34,569,11271,11271,1174,103,,385,1854113,12244,,,1854113,1212,205,222430,184947,3184,0,,3300,,44836,,196914,,0,2039060,14564,,21856,,241791,,0,2039060,14564
"2020-12-30","AS","D",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2020-12-30","AZ","A+",8718,7892,78,826,36784,36784,4526,709,,1076,2324163,13587,,,,,750,512489,488303,5267,0,,,,,,75095,,0,5003811,42124,389684,,,,2812466,18104,5003811,42124
"2020-12-30","CA","B",24958,,432,,,,21433,0,,4478,30404934,217684,,,,,,2218142,2218142,30921,0,,,,,,,,0,32623076,248605,,,,,,0,32623076,248605
"2020-12-30","CO","A",4750,4111,63,639,18502,18502,1150,272,,,1809540,5337,247103,,,,,330859,317032,2451,0,30488,,,,,17822,4368131,24722,4368131,24722,277591,,,,2126572,7598,,0
"2020-12-30","CT","B",5964,4828,40,1136,12257,12257,1167,0,,,4113918,16970,,,,,,183663,172907,1696,0,,,,,,9800,,0,4297581,18666,,49816,,,,0,4286825,18548
"2020-12-30","DC","A+",780,,5,,,,240,0,,71,864006,3549,,,,,33,28758,,223,0,,,,,,20587,892764,3772,892764,3772,,,,,356131,995,,0
"2020-12-30","DE","A+",921,819,23,102,,,425,0,,56,450882,1259,,,,,,56596,54292,407,0,,,,,58156,18851,972556,5685,972556,5685,,,,,507478,1666,,0
"2020-12-30","FL","A",21857,,139,,63375,63375,6298,376,,,7360958,28033,578113,560932,12194345,,,1283701,1106788,13638,0,71851,,69600,,1671699,,15584370,140593,15584370,140593,650372,,630838,,8644659,41671,13927475,131549
"2020-12-30","GA","A+",10846,9808,67,1038,41778,41778,4926,375,7375,,4746616,18046,,,,,,558177,558177,5465,0,45463,,,96566,531566,,,0,5304793,23511,401264,,,,,0,5304793,23511
"2020-12-30","GU","B",121,,0,,,,15,0,,3,88633,257,,,,,2,7308,7129,15,0,17,239,,,,7018,,0,95941,272,323,5645,,,,0,95762,272
"2020-12-30","HI","B",285,,0,,1756,1756,81,10,,14,295153,0,,,,,12,21644,21209,106,0,,,,,21063,11958,807135,3420,807135,3420,,,,,308090,0,,0
"2020-12-30","IA","A+",3822,,10,,,,612,0,,127,930320,1067,,77781,1938935,,66,237850,237850,1052,0,,43739,8760,41084,257617,236666,,0,1168170,2119,,844222,86581,181210,1170415,2116,2207796,8450
"2020-12-30","ID","A",1393,1232,16,161,5519,5519,280,43,1003,77,425637,492,,,,,,138524,114833,1514,0,,,,,,56799,,0,540470,1590,,52274,,,540470,1590,850169,3281
"2020-12-30","IL","A",17811,16357,215,1454,,,4244,0,,882,12222637,67199,,,,,496,955380,447491,7374,0,,,,,,,,0,13178017,74573,,,,,,0,13178017,74573
"2020-12-30","IN","A+",8160,7812,109,348,34761,34761,2941,227,6078,659,2117862,4469,,,,,365,505017,,4735,0,,,,,455701,339416,,0,5627342,42249,,,,,2622879,9204,5627342,42249
"2020-12-30","KS","A+",2741,,193,,6760,6760,767,192,1823,234,778799,9048,,,,412,99,222433,,6371,0,,,,,,4517,,0,1001232,15419,,,,,1001232,15419,,0
"2020-12-30","KY","A+",2623,2446,29,177,13488,13488,1673,264,3045,433,2935350,17718,,,,,234,265262,213256,3770,0,6863,16918,,,182341,36740,,0,3148606,20426,101804,164469,,,,0,3148606,20426
"2020-12-30","LA","A",7448,7078,51,370,,,1717,0,,,3873539,35916,,,,,210,311229,282148,6744,0,,,,,,263712,,0,4184768,42660,,211855,,,,0,4155687,40177
"2020-12-30","MA","A+",12338,12076,120,262,15905,15905,2257,0,,433,3640768,15115,,,,,231,367918,352558,6839,0,,,12756,,429346,229910,,0,10848872,86050,,,139022,356615,3993326,21250,10848872,86050
"2020-12-30","MD","A",5848,5681,45,167,26447,26447,1756,200,,410,2516856,8777,,154692,,,,273689,273689,2628,0,,,19059,,331887,9302,,0,5672680,40279,,,173751,,2790545,11405,5672680,40279
"2020-12-30","ME","A+",334,329,1,5,1039,1039,177,-2,,48,1078999,5435,13000,,1073724,,19,23499,20064,590,0,537,3479,,,24669,11326,,0,1102498,6025,13549,81064,,,,0,1099063,5917
"2020-12-30","MI","A+",13018,12333,52,685,,,2758,0,,629,7584454,43822,,,7584454,,368,528621,488144,4782,0,,,,,618299,318389,,0,8113075,48604,427428,,,,,0,8202753,48416
"2020-12-30","MN","A",5262,5100,66,162,21748,21748,926,143,4597,207,2562079,6325,,,,,,413107,399163,1997,0,,,,,,395679,5309130,20796,5309130,20796,,217907,,,2961242,8013,,0
"2020-12-30","MO","A+",5491,,58,,,,2540,0,,623,1648969,3080,97042,91475,3179838,,356,388856,388856,2761,0,12843,41349,10549,,431221,,,0,3618339,18470,110099,351864,102576,156795,2037825,5841,3618339,18470
"2020-12-30","MP","D",2,2,0,,4,4,,0,,,17429,0,,,,,,122,122,0,0,,,,,,29,,0,17551,0,,,,,17542,0,26131,0
"2020-12-30","MS","A+",4747,3804,28,943,8145,8145,1463,0,,321,1127658,0,,,,,208,213055,146932,3023,0,95,,,,,167263,,0,1340713,3023,60877,401956,,,,0,1267602,0
"2020-12-30","MT","A",950,,11,,3553,3553,223,39,,46,705508,2439,,,,,26,81300,81300,874,0,,,,,,74970,,0,786808,3313,,,,,,0,786808,3313
"2020-12-30","NC","A+",6729,6325,155,404,,,3339,0,,768,6347665,29275,,,,,,532830,487967,8551,0,,,,,,403488,,0,6880495,37826,,256286,,,,0,6835632,35577
"2020-12-30","ND","B",1289,,6,,3542,3542,96,9,521,15,286044,0,11953,,,,,92202,89299,371,0,1442,,,,,89099,1270216,37012,1270216,37012,13395,,,,376035,950,1343600,42460
"2020-12-30","NE","A",1603,,16,,5187,5187,517,28,,,677011,1062,,,1536623,,,163781,163781,932,0,,,,,187806,105135,,0,1726330,8847,,,,,841203,1996,1726330,8847
"2020-12-30","NH","B",741,,6,,901,901,306,0,300,,477073,1062,,,,,,43242,32253,545,0,,,,,,36739,,0,1025226,5427,35757,45740,34637,,509326,1397,1025226,5427
"2020-12-30","NJ","A",18952,16931,175,2021,47090,47090,3727,306,,701,7225864,0,,,,,467,472264,472264,4642,0,,,,,,55176,,0,7698128,4642,,,,,,0,7693486,0
"2020-12-30","NM","A",2436,,33,,9614,9614,792,101,,,1813494,7084,,,,,,141186,,1311,0,,,,,,64218,,0,1954680,8395,,,,,,0,1954680,8395
"2020-12-30","NV","A+",3066,,47,,,,1988,0,,408,935060,2170,,,,,282,222594,222594,2470,0,,,,,,,2068519,11253,2068519,11253,,,,,1157654,4640,1157654,3071
"2020-12-30","NY","B",29905,,149,,89995,89995,7892,0,,1250,24111061,141527,,,,,702,957412,,13422,0,,,,,,101295,25068473,154949,25068473,154949,,,,,,0,,0
"2020-12-30","OH","A+",8855,8009,133,846,38002,38002,4409,366,5837,1087,7004152,20272,,,,,693,690748,620181,8178,0,,,,,,546305,,0,7694900,28450,,,,,,0,7624333,26422
"2020-12-30","OK","A+",2453,,48,,16813,16813,1916,387,,486,2362344,26435,,,2362344,,,287030,,3249,0,8502,,,,283404,252214,,0,2649374,29684,106188,,,,,0,2650724,31749
"2020-12-30","OR","A+",1468,,19,,6455,6455,570,101,,127,2520215,17884,,,2477988,,60,112260,74629,1033,0,,,,,154487,5870,,0,2632475,18917,,,,,,0,2632475,18917
"2020-12-30","PA","A+",15672,,319,,,,5962,0,,1178,3254297,10194,,,,,681,631333,567281,8984,0,,,,,,416679,,0,3885630,19178,,,,,3821578,17440,7365543,52685
"2020-12-30","PR","B",1484,1228,24,256,,,450,0,,82,305972,0,,,303412,,70,75888,71342,98,0,55473,,,,7002,65045,,0,381860,98,,,,,,0,310546,0
"2020-12-30","RI","A+",1777,,17,,6506,6506,426,53,,61,545664,1581,,,1868837,,47,87949,,1160,0,,,,,105661,5381,1974498,13252,1974498,13252,,,,,633613,2741,,0
"2020-12-30","SC","A+",5249,4846,51,403,14236,14236,2001,133,,393,2847359,14676,88648,,2763870,,198,303475,280024,2873,0,16367,44962,,,363513,149770,,0,3150834,17549,105015,396295,,,,0,3127383,17137
"2020-12-30","SD","A+",1464,,18,,5639,5639,293,34,,57,272739,738,,,,,43,98720,89725,562,0,,,,,,91527,,0,371459,1300,,,,,371459,1300,755685,4341
"2020-12-30","TN","A+",6810,5923,100,887,14417,14417,3425,141,,819,5037459,21115,,,4957138,,466,580809,509854,8220,0,,76280,,,590175,501691,,0,5618268,29335,,615891,,,,0,5547313,26426
"2020-12-30","TX","A",27088,,326,,,,11992,0,,3012,12125348,52080,,,,,,1737447,1536265,21469,0,82876,97753,,,1694131,1402336,,0,13661613,69846,701794,1157852,,,,0,13661613,69846
